what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1425714393677
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1425714393677
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1425714393678
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1425714393678
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1425714393679
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1425714393680
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1425714393681
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1425714393681
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1425714393682
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1425714393683
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1425714393684
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1425714393685
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1425714393685
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1425714393686
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1425714393687
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1425714393688
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1425714393689
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1425714393689
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1425714393689
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1425714393690
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1425714393691
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1425714393691
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1425714393692
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1425714393693
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1425714393693
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1425714393694
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425714393694
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1425714393695
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1425714393695
os,sysinfo,,,"win32",1425714393698
arch,sysinfo,,,"x86_64",1425714393698
ws,sysinfo,,,"win32",1425714393698
locale,sysinfo,,,"en_US",1425714393698
processors,sysinfo,,,"4",1425714393698
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425714393698
java.runtime.version,sysinfo,,,"1.7.0_55-b13",1425714393698
java.specification.name,sysinfo,,,"Java Platform API Specification",1425714393698
java.specification.vendor,sysinfo,,,"Oracle Corporation",1425714393698
java.specification.version,sysinfo,,,"1.7",1425714393698
java.vendor,sysinfo,,,"Oracle Corporation",1425714393698
java.version,sysinfo,,,"1.7.0_55",1425714393698
java.vm.info,sysinfo,,,"mixed mode",1425714393698
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1425714393698
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425714393698
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1425714393698
java.vm.specification.version,sysinfo,,,"1.7",1425714393698
java.vm.vendor,sysinfo,,,"Oracle Corporation",1425714393698
java.vm.version,sysinfo,,,"24.55-b03",1425714393698
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1425714396176
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1425714396179
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1425714396188
